Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Contact with and (suspected) exposure to other viral communicable diseases,A01.00,,0.0999571904540062,The diagnosis 'Contact with and (suspected) exposure to other viral communicable diseases' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Contact with or exposure to other viral diseases,A01.00,,0.0768834576010704,The diagnosis 'Contact with or exposure to other viral diseases' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Contusion of hand(s),A01.00,,0.08777275681495667,The diagnosis 'Contusion of hand(s)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Contusion of left back wall of thorax, initial encounter",A01.00,,0.09160830080509186,"The diagnosis 'Contusion of left back wall of thorax, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of left foot, initial encounter",A00.9,,0.10092273354530334,"The diagnosis 'Contusion of left foot, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
"Contusion of left lower leg, initial encounter",A01.00,,0.08440804481506348,"The diagnosis 'Contusion of left lower leg, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of left upper arm, initial encounter",A01.00,,0.10488154739141464,"The diagnosis 'Contusion of left upper arm, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Contusion of lung without mention of open wound into thorax,A01.00,,-0.006668162532150745,The diagnosis 'Contusion of lung without mention of open wound into thorax' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Contusion of other intra-abdominal organs, initial encounter",A01.00,,0.08797936886548996,"The diagnosis 'Contusion of other intra-abdominal organs, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of right back wall of thorax, initial encounter",A01.00,,0.08280499279499054,"The diagnosis 'Contusion of right back wall of thorax, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of right lower leg, initial encounter",A01.00,,0.07164664566516876,"The diagnosis 'Contusion of right lower leg, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of right upper arm, initial encounter",A01.00,,0.0950302854180336,"The diagnosis 'Contusion of right upper arm, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Contusion of scalp, initial encounter",A01.00,,0.04368569701910019,"The diagnosis 'Contusion of scalp, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Contusion of toe,A01.00,,0.0714905858039856,The diagnosis 'Contusion of toe' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Conversion disorder with mixed symptom presentation,Z98.41,,0.03143608197569847,The diagnosis 'Conversion disorder with mixed symptom presentation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Coronary atherosclerosis of autologous vein bypass graft,A01.00,,0.032076142728328705,The diagnosis 'Coronary atherosclerosis of autologous vein bypass graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Coronary atherosclerosis of native coronary artery,Z98.41,,0.04767855256795883,The diagnosis 'Coronary atherosclerosis of native coronary artery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Coronary atherosclerosis of unspecified type of vessel, native or graft",A01.00,,0.05157750844955444,"The diagnosis 'Coronary atherosclerosis of unspecified type of vessel, native or graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Cyst and pseudocyst of pancreas,Z98.41,,0.06324007362127304,The diagnosis 'Cyst and pseudocyst of pancreas' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Cyst of kidney, acquired",A01.00,,0.06836527585983276,"The diagnosis 'Cyst of kidney, acquired' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Cystic kidney disease, unspecified",A01.00,,0.05404726415872574,"The diagnosis 'Cystic kidney disease, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Decreased white blood cell count, unspecified",Z98.41,,-0.03201129287481308,"The diagnosis 'Decreased white blood cell count, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Defibrination syndrome,A01.00,,0.08298137038946152,The diagnosis 'Defibrination syndrome' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Degeneration of cervical intervertebral disc,A01.00,,0.012817878276109695,The diagnosis 'Degeneration of cervical intervertebral disc' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Degeneration of lumbar or lumbosacral intervertebral disc,A01.00,,0.00775486184284091,The diagnosis 'Degeneration of lumbar or lumbosacral intervertebral disc' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dehydration,A01.00,,0.12960180640220642,The diagnosis 'Dehydration' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Delirium due to conditions classified elsewhere,Z98.41,,0.000841702101752162,The diagnosis 'Delirium due to conditions classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Delirium due to known physiological condition,Z98.41,,-0.013373100198805332,The diagnosis 'Delirium due to known physiological condition' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Dementia in conditions classified elsewhere with behavioral disturbance,Z98.41,,-0.024458475410938263,The diagnosis 'Dementia in conditions classified elsewhere with behavioral disturbance' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Dementia, unspecified, without behavioral disturbance",Z98.41,,0.03182327002286911,"The diagnosis 'Dementia, unspecified, without behavioral disturbance' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Dependence on renal dialysis,A01.00,,0.0034243292175233364,The diagnosis 'Dependence on renal dialysis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dependence on respirator [ventilator] status,Z98.41,,-0.06566060334444046,The diagnosis 'Dependence on respirator [ventilator] status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Dependence on respirator, status",Z98.41,,-0.04399114102125168,"The diagnosis 'Dependence on respirator, status' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Dependence on supplemental oxygen,Z98.41,,-0.029403720051050186,The diagnosis 'Dependence on supplemental oxygen' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Depressive disorder, not elsewhere classified",Z98.41,,-0.06672994047403336,"The diagnosis 'Depressive disorder, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Dermatitis due to drugs and medicines taken internally,A01.00,,-0.015917381271719933,The diagnosis 'Dermatitis due to drugs and medicines taken internally' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Diabetes mellitus due to underlying condition with hyperglycemia,Z98.41,,0.009044930338859558,The diagnosis 'Diabetes mellitus due to underlying condition with hyperglycemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",Z98.41,,-0.03840550780296326,"The diagnosis 'Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",Z98.41,,-0.025393381714820862,"The diagnosis 'Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",Z98.41,,-0.03335842862725258,"The diagnosis 'Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",Z98.41,,0.010636776685714722,"The diagnosis 'Diabetes with ketoacidosis, type II or unspecified type, uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",Z98.41,,-0.029847370460629463,"The diagnosis 'Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",Z98.41,,-0.01765413023531437,"The diagnosis 'Diabetes with neurological manifestations, type II or unspecified type, uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",Z98.41,,0.009624305181205273,"The diagnosis 'Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",Z98.41,,-0.02239255979657173,"The diagnosis 'Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",Z98.41,,-0.008749691769480705,"The diagnosis 'Diabetes with other specified manifestations, type II or unspecified type, uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",Z98.41,,-0.020863929763436317,"The diagnosis 'Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Diaphragmatic hernia without mention of obstruction or gangrene,A01.00,,-0.011142929084599018,The diagnosis 'Diaphragmatic hernia without mention of obstruction or gangrene' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Diaphragmatic hernia without obstruction or gangrene,A01.00,,0.002037664409726858,The diagnosis 'Diaphragmatic hernia without obstruction or gangrene' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Diarrhea,A01.00,,0.2769014239311218,The diagnosis 'Diarrhea' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Diarrhea, unspecified",A01.00,,0.1482376605272293,"The diagnosis 'Diarrhea, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Diastolic heart failure, unspecified",Z98.41,,-0.02046918123960495,"The diagnosis 'Diastolic heart failure, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Dietary selenium deficiency,Z98.41,,-0.002547767013311386,The diagnosis 'Dietary selenium deficiency' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Dietary zinc deficiency,Z98.41,,0.010838753543794155,The diagnosis 'Dietary zinc deficiency' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Difficulty in walking,A01.00,,0.03250330686569214,The diagnosis 'Difficulty in walking' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dilated cardiomyopathy,A01.00,,0.08325488865375519,The diagnosis 'Dilated cardiomyopathy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Diplopia,A00.9,,0.2380712628364563,The diagnosis 'Diplopia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Discoid lupus erythematosus,A01.00,,0.0355234257876873,The diagnosis 'Discoid lupus erythematosus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Disease of pericardium, unspecified",A01.00,,0.035320620983839035,"The diagnosis 'Disease of pericardium, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Diseases of tricuspid valve,A01.00,,-0.034844718873500824,The diagnosis 'Diseases of tricuspid valve' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Dislocation of jaw, initial encounter",A01.00,,0.04774153605103493,"The diagnosis 'Dislocation of jaw, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Disorders of magnesium metabolism,A01.00,,0.019146902486681938,The diagnosis 'Disorders of magnesium metabolism' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Disorders of phosphorus metabolism,A01.00,,-0.02500848099589348,The diagnosis 'Disorders of phosphorus metabolism' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Disorientation, unspecified",Z98.41,,0.17686522006988525,"The diagnosis 'Disorientation, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Displaced comminuted fracture of shaft of right tibia, initial encounter for closed fracture",Z98.41,,0.02953054942190647,"The diagnosis 'Displaced comminuted fracture of shaft of right tibia, initial encounter for closed fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Displacement of vascular dialysis catheter, initial encounter",Z98.41,,0.024400433525443077,"The diagnosis 'Displacement of vascular dialysis catheter, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Disruption of external operation (surgical) wound,A01.00,,0.026252027601003647,The diagnosis 'Disruption of external operation (surgical) wound' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter",A01.00,,0.017883868888020515,"The diagnosis 'Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Disruption of wound, unspecified",A01.00,,0.09646572172641754,"The diagnosis 'Disruption of wound, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Dissection of abdominal aorta,A01.00,,0.0680617094039917,The diagnosis 'Dissection of abdominal aorta' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Dissection of aorta, abdominal",A01.00,,0.0745244175195694,"The diagnosis 'Dissection of aorta, abdominal' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Dissection of other artery,Z98.41,,0.037840742617845535,The diagnosis 'Dissection of other artery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Dissociative and conversion disorder, unspecified",A01.00,,0.04982900992035866,"The diagnosis 'Dissociative and conversion disorder, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Diverticulosis of colon (without mention of hemorrhage),A01.00,,0.04102811962366104,The diagnosis 'Diverticulosis of colon (without mention of hemorrhage)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding",A01.00,,0.03648720681667328,"The diagnosis 'Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding",A01.00,,0.026409367099404335,"The diagnosis 'Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Diverticulosis of large intestine without perforation or abscess without bleeding,A01.00,,0.010626627132296562,The diagnosis 'Diverticulosis of large intestine without perforation or abscess without bleeding' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dizziness and giddiness,A01.00,,0.04244953766465187,The diagnosis 'Dizziness and giddiness' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Do not resuscitate,A01.00,,0.12013675272464752,The diagnosis 'Do not resuscitate' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Do not resuscitate status,Z98.41,,0.05673046410083771,The diagnosis 'Do not resuscitate status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Dorsalgia, unspecified",Z98.41,,0.09794678539037704,"The diagnosis 'Dorsalgia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident, sequela",Z98.41,,0.06624643504619598,"The diagnosis 'Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident, sequela' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Drug induced constipation,Z98.41,,-0.006810965947806835,The diagnosis 'Drug induced constipation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Drug induced headache, not elsewhere classified",Z98.41,,-0.040453266352415085,"The diagnosis 'Drug induced headache, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Drug-induced delirium,A01.00,,0.06369074434041977,The diagnosis 'Drug-induced delirium' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Drug-induced mood disorder,Z98.41,,0.0788043960928917,The diagnosis 'Drug-induced mood disorder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Dry eye syndrome of bilateral lacrimal glands,Z98.41,,0.03451862931251526,The diagnosis 'Dry eye syndrome of bilateral lacrimal glands' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction",A01.00,,0.007148293778300285,"The diagnosis 'Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Duodenitis, without mention of hemorrhage",A01.00,,0.03452411666512489,"The diagnosis 'Duodenitis, without mention of hemorrhage' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Dysarthria,A01.00,,0.13058964908123016,The diagnosis 'Dysarthria' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dysarthria following cerebral infarction,Z98.41,,0.0009091366082429886,The diagnosis 'Dysarthria following cerebral infarction' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Dyskinesia of esophagus,A01.00,,0.04535730183124542,The diagnosis 'Dyskinesia of esophagus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dysmenorrhea,A01.00,,0.18935362994670868,The diagnosis 'Dysmenorrhea' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dysphagia following cerebral infarction,A01.00,,0.040824633091688156,The diagnosis 'Dysphagia following cerebral infarction' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Dysphagia, oropharyngeal phase",A01.00,,0.005358921829611063,"The diagnosis 'Dysphagia, oropharyngeal phase' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Dysphagia, unspecified",A01.00,,0.10208796709775925,"The diagnosis 'Dysphagia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Dysphonia,A01.00,,0.19139598309993744,The diagnosis 'Dysphonia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Dysthymic disorder,Z98.41,,0.028016896918416023,The diagnosis 'Dysthymic disorder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Dysuria,A01.00,,0.16356255114078522,The diagnosis 'Dysuria' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Early satiety,Z98.41,,0.1758149117231369,The diagnosis 'Early satiety' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Edema,A01.00,,0.18092742562294006,The diagnosis 'Edema' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Edema of male genital organs,A01.00,,0.10086940228939056,The diagnosis 'Edema of male genital organs' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Electrolyte and fluid disorders not elsewhere classified,Z98.41,,-0.043410710990428925,The diagnosis 'Electrolyte and fluid disorders not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Embolism and thrombosis of other specified artery,Z98.41,,0.05071702599525452,The diagnosis 'Embolism and thrombosis of other specified artery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Empyema without mention of fistula,A01.00,,0.09671267867088318,The diagnosis 'Empyema without mention of fistula' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Encephalopathy, unspecified",Z98.41,,0.018871504813432693,"The diagnosis 'Encephalopathy, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Encounter for adjustment and management of automatic implantable cardiac defibrillator,A01.00,,0.01936895027756691,The diagnosis 'Encounter for adjustment and management of automatic implantable cardiac defibrillator' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Encounter for adjustment and management of other part of cardiac pacemaker,A01.00,,0.05527898669242859,The diagnosis 'Encounter for adjustment and management of other part of cardiac pacemaker' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Encounter for antineoplastic chemotherapy,Z98.41,,0.005586627405136824,The diagnosis 'Encounter for antineoplastic chemotherapy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Encounter for attention to colostomy,A01.00,,0.16094081103801727,The diagnosis 'Encounter for attention to colostomy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Encounter for attention to other artificial openings of digestive tract,A01.00,,0.08279528468847275,The diagnosis 'Encounter for attention to other artificial openings of digestive tract' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Encounter for attention to tracheostomy,A01.00,,0.10415003448724747,The diagnosis 'Encounter for attention to tracheostomy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Encounter for examination for normal comparison and control in clinical research program,Z98.41,,-0.003035750240087509,The diagnosis 'Encounter for examination for normal comparison and control in clinical research program' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Encounter for fitting and adjustment of other specified devices,Z98.41,,0.016563870012760162,The diagnosis 'Encounter for fitting and adjustment of other specified devices' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Encounter for immunization,Z98.41,,0.11612262576818466,The diagnosis 'Encounter for immunization' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Encounter for palliative care,Z98.41,,0.077201709151268,The diagnosis 'Encounter for palliative care' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Encounter for removal of sutures,A01.00,,0.13713109493255615,The diagnosis 'Encounter for removal of sutures' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
End stage renal disease,A01.00,,0.012573801912367344,The diagnosis 'End stage renal disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Enterococcus as the cause of diseases classified elsewhere,A01.00,,0.03674251213669777,The diagnosis 'Enterococcus as the cause of diseases classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Enterocolitis due to Clostridium difficile,A01.00,,0.027520958334207535,The diagnosis 'Enterocolitis due to Clostridium difficile' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Enterocolitis due to Clostridium difficile, not specified as recurrent",A01.00,,0.014867623336613178,"The diagnosis 'Enterocolitis due to Clostridium difficile, not specified as recurrent' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Eosinophilia,Z98.41,,0.12159208208322525,The diagnosis 'Eosinophilia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Epigastric pain,A01.00,,0.06625088304281235,The diagnosis 'Epigastric pain' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Epilepsy, unspecified, not intractable, with status epilepticus",Z98.41,,-0.021766360849142075,"The diagnosis 'Epilepsy, unspecified, not intractable, with status epilepticus' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Epilepsy, unspecified, not intractable, without status epilepticus",Z98.41,,-0.018662985414266586,"The diagnosis 'Epilepsy, unspecified, not intractable, without status epilepticus' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Epilepsy, unspecified, without mention of intractable epilepsy",Z98.41,,-0.0007830224931240082,"The diagnosis 'Epilepsy, unspecified, without mention of intractable epilepsy' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Epistaxis,A01.00,,0.1433217078447342,The diagnosis 'Epistaxis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Esophageal obstruction,A01.00,,0.027475543320178986,The diagnosis 'Esophageal obstruction' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Esophageal reflux,A01.00,,0.03586370497941971,The diagnosis 'Esophageal reflux' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Esophageal varices in diseases classified elsewhere, with bleeding",A01.00,,-0.03875373676419258,"The diagnosis 'Esophageal varices in diseases classified elsewhere, with bleeding' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Esophageal varices without mention of bleeding,A01.00,,-0.035426799207925797,The diagnosis 'Esophageal varices without mention of bleeding' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
